utc_minus,us_state,0_minus,guess made
6:00:00,Alabama,0,0
9:00:00,Alaska,0,1
11:00:00,American Samoa,0,0
7:00:00,Arizona,0,0
6:00:00,Arkansas,0,0
8:00:00,California,0,0
7:00:00,Colorado,0,0
5:00:00,Connecticut,0,0
5:00:00,Delaware,0,0
5:00:00,District of Columbia,0,0
6:00:00,Florida,0,1
5:00:00,Georgia,0,0
10:00:00,Guam,1,0
10:00:00,Hawaii,0,0
7:00:00,Idaho,0,1
6:00:00,Illinois,0,0
5:00:00,Indiana,0,1
6:00:00,Iowa,0,0
6:00:00,Kansas,0,1
5:30:00,Kentucky,0,1
6:00:00,Louisiana,0,0
5:00:00,Maine,0,0
5:00:00,Maryland,0,0
5:00:00,Massachusetts,0,0
5:00:00,Michigan,0,1
6:00:00,Minnesota,0,0
6:00:00,Mississippi,0,0
6:00:00,Missouri,0,0
7:00:00,Montana,0,0
6:00:00,Nebraska,0,1
8:00:00,Nevada,0,1
5:00:00,New Hampshire,0,0
5:00:00,New Jersey,0,0
7:00:00,New Mexico,0,0
5:00:00,New York,0,0
5:00:00,North Carolina,0,0
6:00:00,North Dakota,0,1
10:00:00,Northern Mariana Islands,1,0
5:00:00,Ohio,0,0
6:00:00,Oklahoma,0,0
8:00:00,Oregon,0,1
5:00:00,Pennsylvania,0,0
4:00:00,Puerto Rico,0,0
5:00:00,Rhode Island,0,0
5:00:00,South Carolina,0,0
6:30:00,South Dakota,0,1
6:00:00,Tennessee,0,1
6:00:00,Texas,0,1
8:00:00,U.S. Minor Outlying Islands,0,1
7:00:00,Utah,0,0
5:00:00,Vermont,0,0
4:00:00,Virgin Islands,0,0
5:00:00,Virginia,0,0
8:00:00,Washington,0,0
5:00:00,West Virginia,0,0
6:00:00,Wisconsin,0,0
7:00:00,Wyoming,0,0
